tailnumber,dates,aircraft,origin,destination,departure,arrival,duration,Tail_number,NAME
N888CP,26-Dec-2020,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>03:25PM <span class=""tz"">CST</span></td>","<td>03:35PM <span class=""tz"">CST</span></td>",0:10,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Dec-2020,LJ31,"<span dir=""ltr"">Willow Run</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>03:23PM <span class=""tz"">EST</span></td>","<td>03:07PM <span class=""tz"">CST</span></td>",0:44,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Willow Run</span>","<td>11:28AM <span class=""tz"">CST</span></td>","<td>01:16PM <span class=""tz"">EST</span></td>",0:47,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-2020,LJ31,"<span dir=""ltr"">San Jose Int'l</span>","<span dir=""ltr"">Aurora Muni</span>","<td>04:59PM <span class=""tz"">PST</span></td>","<td>10:40PM <span class=""tz"">CST</span></td>",3:40,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-2020,LJ31,"<span dir=""ltr"">Cheyenne Rgnl</span>","<span dir=""ltr"">San Jose Int'l</span>","<td>01:42PM <span class=""tz"">MST</span></td>","<td>03:14PM <span class=""tz"">PST</span></td>",2:31,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-2020,LJ31,"<span dir=""ltr"">Milwaukee Mitchell Intl Airport</span>","<span dir=""ltr"">Cheyenne Rgnl</span>","<td>11:34AM <span class=""tz"">CST</span></td>","<td>12:48PM <span class=""tz"">MST</span></td>",2:13,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Milwaukee Mitchell Intl Airport</span>","<td>09:51AM <span class=""tz"">CST</span></td>","<td>10:12AM <span class=""tz"">CST</span></td>",0:21,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Dec-2020,LJ31,"<span dir=""ltr"">Clearwater Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>05:29PM <span class=""tz"">EST</span></td>","<td>06:58PM <span class=""tz"">CST</span></td>",2:28,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Dec-2020,LJ31,"<span dir=""ltr"">San Antonio Intl</span>","<span dir=""ltr"">Clearwater Intl</span>","<td>01:47AM <span class=""tz"">CST</span></td>","<td>04:43AM <span class=""tz"">EST</span></td>",1:55,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,11-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">San Antonio Intl</span>","<td>08:23PM <span class=""tz"">CST</span></td>","<td>11:18PM <span class=""tz"">CST</span></td>",2:54,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-2020,LJ31,"<span dir=""ltr"">Missoula Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>09:45PM <span class=""tz"">MST</span></td>","<td>01:53AM <span class=""tz"">CST</span> (+1)</td>",3:07,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Missoula Intl</span>","<td>05:35PM <span class=""tz"">CST</span></td>","<td>07:57PM <span class=""tz"">MST</span></td>",3:21,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-2020,LJ31,"<span dir=""ltr"">Bangor Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>03:14PM <span class=""tz"">EST</span></td>","<td>04:53PM <span class=""tz"">CST</span></td>",2:38,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Bangor Intl</span>","<td>09:48AM <span class=""tz"">CST</span></td>","<td>12:54PM <span class=""tz"">EST</span></td>",2:06,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,09-Dec-2020,LJ31,"<span dir=""ltr"">Southern Illinois</span>","<span dir=""ltr"">Aurora Muni</span>","<td>12:45PM <span class=""tz"">CST</span></td>","<td>01:35PM <span class=""tz"">CST</span></td>",0:50,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
